,SARSA,MCCONTROL,QLEARNING,DQLEARNING
1448,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1449,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
1450,-2.000000000000001,-1.006,-2.000000000000001,-2.000000000000001
1451,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1452,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
1453,0.996,0.996,0.996,0.996
1454,-2.000000000000001,-2.000000000000001,0.995,-2.000000000000001
1455,0.998,0.998,0.998,0.998
1456,-2.000000000000001,0.989,-2.000000000000001,-2.000000000000001
1457,0.996,0.996,0.996,0.996
1458,-2.000000000000001,-2.000000000000001,0.995,-2.000000000000001
1459,0.994,0.994,0.994,-2.000000000000001
1460,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
1461,0.996,0.995,0.996,-2.000000000000001
1462,0.996,0.994,0.996,-2.000000000000001
1463,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1464,0.997,0.997,0.997,-2.000000000000001
1465,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1466,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1467,0.993,-2.000000000000001,0.993,-2.000000000000001
1468,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1469,0.993,-2.000000000000001,0.993,-2.000000000000001
1470,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1471,0.997,0.997,0.997,0.997
1472,0.998,0.996,0.998,0.998
1473,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
1474,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
1475,-2.000000000000001,0.991,0.991,-2.000000000000001
1476,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
1477,-2.000000000000001,0.992,-2.000000000000001,-2.000000000000001
1478,0.994,0.994,0.994,-2.000000000000001
1479,-2.000000000000001,0.992,0.995,-2.000000000000001
1480,0.997,0.997,0.997,0.997
1481,0.995,0.995,0.995,-2.000000000000001
1482,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1483,-2.000000000000001,0.996,-2.000000000000001,-2.000000000000001
1484,-2.000000000000001,0.99,-2.000000000000001,-2.000000000000001
1485,-2.000000000000001,-1.004,-2.000000000000001,-2.000000000000001
1486,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
1487,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1488,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
1489,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
1490,0.998,0.998,0.998,0.998
1491,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
1492,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
1493,0.996,0.996,0.996,0.996
1494,0.996,0.996,0.996,-2.000000000000001
1495,0.992,0.994,0.994,-2.000000000000001
1496,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
1497,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1498,-2.000000000000001,0.992,0.992,-2.000000000000001
1499,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
1500,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
1501,-2.000000000000001,0.992,0.996,-2.000000000000001
1502,-2.000000000000001,0.987,-2.000000000000001,-2.000000000000001
1503,0.994,0.994,0.994,-2.000000000000001
1504,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1505,0.995,0.993,0.995,-2.000000000000001
1506,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1507,0.996,0.994,0.996,0.996
1508,0.994,-2.000000000000001,0.994,-2.000000000000001
1509,-2.000000000000001,0.995,0.997,-2.000000000000001
1510,0.994,0.994,-2.000000000000001,-2.000000000000001
1511,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1512,0.997,0.997,0.997,-2.000000000000001
1513,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
1514,0.995,0.995,0.995,0.995
1515,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
1516,0.998,0.998,0.998,0.998
1517,0.994,0.994,0.994,-2.000000000000001
1518,0.996,0.996,0.996,-2.000000000000001
1519,-2.000000000000001,0.995,-2.000000000000001,-2.000000000000001
1520,0.992,0.992,0.992,-2.000000000000001
1521,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1522,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
1523,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1524,0.999,0.999,0.999,0.999
1525,0.997,0.997,0.997,0.997
1526,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1527,-2.000000000000001,0.994,0.996,-2.000000000000001
1528,-2.000000000000001,0.994,-2.000000000000001,-2.000000000000001
1529,0.997,0.997,0.997,0.997
1530,-2.000000000000001,0.99,-2.000000000000001,-2.000000000000001
1531,0.996,0.996,0.996,0.996
1532,-2.000000000000001,0.997,0.997,0.997
1533,-2.000000000000001,-2.000000000000001,0.993,-2.000000000000001
1534,0.994,0.994,-2.000000000000001,-2.000000000000001
1535,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
1536,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1537,0.995,0.993,0.995,-2.000000000000001
1538,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
1539,-2.000000000000001,0.992,-2.000000000000001,-2.000000000000001
1540,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1541,0.995,0.995,0.995,-2.000000000000001
1542,0.994,0.994,0.994,-2.000000000000001
1543,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
1544,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1545,-2.000000000000001,-2.000000000000001,0.993,-2.000000000000001
1546,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
1547,0.997,0.997,0.997,0.997
1548,0.998,0.998,0.998,0.998
1549,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
1550,0.993,0.991,0.993,-2.000000000000001
1551,,,,
1552,,,,
1553,,,,
1554,,,,
1555,,,,
1556,,,,
1557,,,,
1558,,,,
1559,,,,
1560,,,,
1561,,,,
1562,,,,
1563,,,,
1564,,,,
1565,,,,
1566,,,,
1567,,,,
1568,,,,
1569,,,,
1570,,,,
1571,,,,
1572,,,,
1573,,,,
1574,,,,
1575,,,,
1576,,,,
1577,,,,
1578,,,,
1579,,,,
1580,,,,
1581,,,,
1582,,,,
1583,,,,
1584,,,,
1585,,,,
1586,,,,
1587,,,,
1588,,,,
1589,,,,
1590,,,,
1591,,,,
1592,,,,
1593,,,,
1594,,,,
1595,,,,
1596,,,,
1597,,,,
1598,,,,
1599,,,,
1600,,,,
1601,,,,
1602,,,,
1603,,,,
1604,,,,
1605,,,,
1606,,,,
1607,,,,
1608,,,,
1609,,,,
1610,,,,
1611,,,,
1612,,,,
1613,,,,
1614,,,,
1615,,,,
1616,,,,
1617,,,,
1618,,,,
1619,,,,
1620,,,,
1621,,,,
1622,,,,
1623,,,,
1624,,,,
1625,,,,
1626,,,,
1627,,,,
1628,,,,
1629,,,,
1630,,,,
1631,,,,
1632,,,,
1633,,,,
1634,,,,
1635,,,,
1636,,,,
1637,,,,
1638,,,,
1639,,,,
1640,,,,
1641,,,,
1642,,,,
1643,,,,
1644,,,,
1645,,,,
1646,,,,
1647,,,,
1648,,,,
1649,,,,
1650,,,,
1651,,,,
1652,,,,
1653,,,,
1654,,,,
1655,,,,
1656,,,,
1657,,,,
1658,,,,
1659,,,,
1660,,,,
1661,,,,
1662,,,,
1663,,,,
1664,,,,
1665,,,,
1666,,,,
1667,,,,
1668,,,,
1669,,,,
1670,,,,
1671,,,,
1672,,,,
1673,,,,
1674,,,,
1675,,,,
1676,,,,
1677,,,,
1678,,,,
1679,,,,
1680,,,,
1681,,,,
1682,,,,
1683,,,,
1684,,,,
1685,,,,
1686,,,,
1687,,,,
1688,,,,
1689,,,,
1690,,,,
1691,,,,
1692,,,,
1693,,,,
1694,,,,
1695,,,,
1696,,,,
1697,,,,
1698,,,,
1699,,,,
1700,,,,
1701,,,,
1702,,,,
1703,,,,
1704,,,,
1705,,,,
1706,,,,
1707,,,,
1708,,,,
1709,,,,
1710,,,,
1711,,,,
1712,,,,
1713,,,,
1714,,,,
1715,,,,
1716,,,,
1717,,,,
1718,,,,
1719,,,,
1720,,,,
1721,,,,
1722,,,,
1723,,,,
1724,,,,
1725,,,,
1726,,,,
1727,,,,
1728,,,,
1729,,,,
1730,,,,
1731,,,,
1732,,,,
1733,,,,
1734,,,,
1735,,,,
1736,,,,
1737,,,,
1738,,,,
1739,,,,
1740,,,,
1741,,,,
1742,,,,
1743,,,,
1744,,,,
1745,,,,
1746,,,,
1747,,,,
1748,,,,
1749,,,,
1750,,,,
1751,,,,
1752,,,,
1753,,,,
1754,,,,
1755,,,,
1756,,,,
1757,,,,
1758,,,,
1759,,,,
1760,,,,
1761,,,,
1762,,,,
1763,,,,
1764,,,,
1765,,,,
1766,,,,
1767,,,,
1768,,,,
1769,,,,
1770,,,,
1771,,,,
1772,,,,
1773,,,,
1774,,,,
1775,,,,
1776,,,,
1777,,,,
1778,,,,
1779,,,,
1780,,,,
1781,,,,
1782,,,,
1783,,,,
1784,,,,
1785,,,,
1786,,,,
1787,,,,
1788,,,,
1789,,,,
1790,,,,
1791,,,,
1792,,,,
1793,,,,
1794,,,,
1795,,,,
1796,,,,
1797,,,,
1798,,,,
1799,,,,
1800,,,,
1801,,,,
1802,,,,
1803,,,,
1804,,,,
1805,,,,
1806,,,,
1807,,,,
1808,,,,
1809,,,,
1810,,,,
1811,,,,
1812,,,,
1813,,,,
1814,,,,
1815,,,,
1816,,,,
1817,,,,
1818,,,,
1819,,,,
1820,,,,
1821,,,,
1822,,,,
1823,,,,
1824,,,,
1825,,,,
1826,,,,
1827,,,,
1828,,,,
1829,,,,
1830,,,,
1831,,,,
1832,,,,
1833,,,,
1834,,,,
1835,,,,
1836,,,,
1837,,,,
1838,,,,
1839,,,,
1840,,,,
1841,,,,
1842,,,,
1843,,,,
1844,,,,
1845,,,,
1846,,,,
1847,,,,
1848,,,,
1849,,,,
1850,,,,
1851,,,,
1852,,,,
1853,,,,
1854,,,,
1855,,,,
1856,,,,
1857,,,,
1858,,,,
1859,,,,
1860,,,,
1861,,,,
1862,,,,
1863,,,,
1864,,,,
1865,,,,
1866,,,,
1867,,,,
1868,,,,
1869,,,,
1870,,,,
1871,,,,
1872,,,,
1873,,,,
1874,,,,
1875,,,,
1876,,,,
1877,,,,
1878,,,,
1879,,,,
1880,,,,
1881,,,,
1882,,,,
1883,,,,
1884,,,,
1885,,,,
1886,,,,
1887,,,,
1888,,,,
1889,,,,
1890,,,,
1891,,,,
1892,,,,
1893,,,,
1894,,,,
1895,,,,
1896,,,,
1897,,,,
1898,,,,
1899,,,,
1900,,,,
1901,,,,
1902,,,,
1903,,,,
1904,,,,
1905,,,,
1906,,,,
1907,,,,
1908,,,,
1909,,,,
1910,,,,
1911,,,,
1912,,,,
1913,,,,
1914,,,,
1915,,,,
1916,,,,
1917,,,,
1918,,,,
1919,,,,
1920,,,,
1921,,,,
1922,,,,
1923,,,,
1924,,,,
1925,,,,
1926,,,,
1927,,,,
1928,,,,
1929,,,,
1930,,,,
1931,,,,
1932,,,,
1933,,,,
1934,,,,
1935,,,,
1936,,,,
1937,,,,
1938,,,,
1939,,,,
1940,,,,
1941,,,,
1942,,,,
1943,,,,
1944,,,,
1945,,,,
1946,,,,
1947,,,,
1948,,,,
1949,,,,
1950,,,,
1951,,,,
1952,,,,
1953,,,,
1954,,,,
1955,,,,
1956,,,,
1957,,,,
1958,,,,
1959,,,,
1960,,,,
1961,,,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,,,,
1967,,,,
1968,,,,
1969,,,,
1970,,,,
1971,,,,
1972,,,,
1973,,,,
1974,,,,
1975,,,,
1976,,,,
1977,,,,
1978,,,,
1979,,,,
1980,,,,
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,,,,
1993,,,,
1994,,,,
1995,,,,
1996,,,,
1997,,,,
1998,,,,
1999,,,,
